timeStamp,robotRealCenCoords,robotHeading
0.0,"(716.7804147135466, -290.87563395500183)",-90.82777362055953
0.0,"(716.2597074247897, -290.9790015220642)",-90.95222649742632
0.0,"(716.0736036263406, -291.1097090244293)",-91.0075578598926
0.0,"(716.5138112977147, -290.91536128520966)",-90.96101695088814
0.0,"(716.3295888192952, -290.9977979660034)",-91.00562491635749
0.0,"(715.3732299283147, -290.94824159145355)",-91.17415983412755
0.0,"(716.4985870495439, -290.7704302072525)",-90.90518015442328
0.0,"(716.2342855930328, -291.0249743461609)",-90.99998318010306
0.0,"(716.8311238158494, -290.82822370529175)",-90.82891426215092
0.0,"(716.4421137142926, -290.75714206695557)",-90.88291373772904
0.0,"(716.6729086246341, -290.9667800664902)",-90.86570849120977
0.0,"(717.2268959693611, -290.9939727783203)",-90.80667516621335
0.0,"(717.1364018004388, -290.91038703918457)",-90.77916999442571
0.0,"(716.4962796792388, -290.6757929325104)",-90.89931302192623
0.0,"(716.166365083307, -290.9227055311203)",-90.98192415993753
0.0,"(715.8438255041838, -291.0289033651352)",-91.04435891914062
0.0,"(716.2658960595727, -290.9646545648575)",-90.98919148121443
0.0,"(716.6632985398173, -290.9656308889389)",-90.89938815400711
0.0,"(716.4860977753997, -290.96187114715576)",-90.94129819475431
0.0,"(715.2373362220824, -290.90802669525146)",-91.24487278260469
0.0,"(716.7085177823901, -291.06225633621216)",-90.91689392884984
0.0,"(717.4415709618479, -290.94868874549866)",-90.73024534940092
0.0,"(716.3520768508315, -290.9116644859314)",-90.92528823133979
0.0,"(716.7874335423112, -290.89678287506104)",-90.80895644939613
0.0,"(716.2579244114459, -290.72668075561523)",-90.94295110053345
0.0,"(716.3694522790611, -290.71279871463776)",-90.92044562721826
0.0,"(716.7287436481565, -290.905734539032)",-90.88011336016933
0.0,"(716.4487557299435, -290.9589954614639)",-90.94056053432395
0.0,"(715.2089095599949, -290.99031019210815)",-91.18898817481565
0.0,"(716.8371988423169, -290.94937694072723)",-90.8860419643689
0.0,"(716.5974879004061, -291.0114299058914)",-90.90259151272784
0.0,"(717.356792865321, -290.8254438638687)",-90.73301157601476
0.0,"(717.0574960429221, -290.8585674762726)",-90.77369218271136
0.0,"(716.6640517301857, -290.8036861419678)",-90.87756569960892
0.0,"(716.1148889474571, -290.8174819946289)",-91.01337718106545
0.0,"(716.3287547081709, -290.8960300683975)",-90.97986827299736
0.0,"(716.2901697829366, -290.84650468826294)",-90.93030842037976
0.0,"(716.9528535176069, -290.85267317295074)",-90.81379905351767
0.0,"(716.7330141048878, -290.7646027803421)",-90.85776498120505
0.0,"(716.0871646367013, -290.773805141449)",-91.0095864260761
0.0,"(716.6962720230222, -290.9325339794159)",-90.91384083429085
0.0,"(716.919432155788, -290.79954743385315)",-90.82285588435711
0.0,"(716.2699677459896, -290.76377403736115)",-90.97251215926126
0.0,"(716.2936374656856, -290.908686876297)",-90.93820411906029
0.0,"(716.1218400038779, -290.84091007709503)",-91.01522816233052
0.0,"(716.508218947798, -290.67140233516693)",-90.89783770106551
0.0,"(716.7464563306421, -291.0101970434189)",-90.87658215236843
0.0,"(717.1514544319361, -290.6379668712616)",-90.77264716376835
0.0,"(716.1641638893634, -290.7056510448456)",-90.88594634172053
0.0,"(717.3281392734498, -290.9774832725525)",-90.79428520305895
0.0,"(716.3036031126976, -290.7725942134857)",-90.98464940541638
0.0,"(715.11094192788, -290.84084033966064)",-91.1147235279701
0.0,"(717.4172543287277, -290.8199518918991)",-90.76500418208711
0.0,"(717.1765036974102, -291.02042174339294)",-90.77462108843848
0.0,"(715.9850467629731, -290.6585030555725)",-90.9337371753431
0.0,"(716.1272635236382, -290.654864192009)",-90.89499634237079
0.0,"(718.4332574736327, -290.84230160713196)",-90.54598733616147
0.0,"(716.8740905169398, -290.7239159345627)",-90.78727742897051
0.0,"(716.4517944008112, -290.6673620939255)",-90.91063747557011
0.0,"(717.4923142753541, -290.86399030685425)",-90.76632923878608
0.1619942999968771,"(716.7466755211353, -290.9086912870407)",-90.90356822977915
0.30537039999035187,"(715.3601213917136, -290.913537979126)",-91.15485088934392
0.47768330000690185,"(716.4534010365605, -291.03669905662537)",-90.96852332878598
0.6332534000102896,"(717.978024546057, -290.92971444129944)",-90.67662836441632
0.7920595000032336,"(715.7646300680935, -290.77912521362305)",-91.0194697098051
0.9787707999930717,"(716.4958343431354, -290.7105276584625)",-90.93681076046961
1.1464216000167653,"(716.9410206284374, -290.9910886287689)",-90.85544954707642
1.3152353999903426,"(716.5169499590993, -290.7445480823517)",-90.91122487183874
1.4734842000179924,"(716.424751073122, -290.7884691953659)",-90.90707211682337
1.6409369000175502,"(717.0086437501013, -290.74727392196655)",-90.7622038045274
1.7958197999978438,"(717.1852173879743, -290.5698812007904)",-90.72035523548273
1.9604539000138175,"(715.5899028480053, -290.9918705224991)",-91.1449471150474
2.1413870000105817,"(716.880748545751, -290.8997634649277)",-90.80575992086457
