timeStamp,robotRealCenCoords,robotHeading
0.0,"(714.1223119273782, -286.51390421390533)",-91.95328634294007
0.0,"(714.4354069679976, -286.2819366455078)",-91.83207780592903
0.0,"(713.9597211927176, -286.6726521253586)",-92.14386228116177
0.0,"(714.1182323992252, -286.66215443611145)",-92.06137408655553
0.0,"(713.8346923515201, -286.7896546125412)",-92.2227304755079
0.0,"(713.8478434458375, -286.6599085330963)",-92.16014545214308
0.0,"(713.7140262499452, -286.5146778821945)",-92.03595212246474
0.0,"(713.7536451369524, -286.7343864440918)",-92.1322168086269
0.0,"(714.1536130234599, -286.54599356651306)",-91.98766268503275
0.0,"(714.2647828236222, -286.5660163164139)",-92.03461340538742
0.0,"(714.417675241828, -286.51044392585754)",-91.90354207521487
0.0,"(713.6287310943007, -286.7111773490906)",-92.13470982767396
0.0,"(713.8680185452104, -286.66401422023773)",-92.13985296011897
0.0,"(713.6724293604493, -286.6523367166519)",-92.19270496391653
0.0,"(713.4790822565556, -286.81140315532684)",-92.23180096672569
0.0,"(714.3213778361678, -286.3152550458908)",-91.85065592047147
0.0,"(714.874908849597, -286.19063544273376)",-91.67665002117621
0.0,"(714.3227935582399, -286.59769999980927)",-91.92783022790344
0.0,"(714.0736074894667, -286.7708102464676)",-92.18167420840696
0.0,"(714.0537161007524, -286.6259654760361)",-92.10359831600455
0.0,"(713.5143693313003, -286.7636617422104)",-92.16897005655073
0.0,"(714.3226049169898, -286.53733694553375)",-91.95575887141962
0.0,"(714.260773986578, -286.5460298061371)",-92.0047791390928
0.0,"(714.2694324404001, -286.6040871143341)",-91.9934820062056
0.0,"(714.3972152322531, -286.589794754982)",-91.94123788924418
0.0,"(713.92338231951, -286.5480571985245)",-92.00709457322144
0.0,"(714.0391231030226, -286.71362233161926)",-92.04923001021125
0.0,"(714.2075377777219, -286.57492685317993)",-92.12522952510598
0.0,"(714.0487425625324, -286.5799742937088)",-92.09228069254983
0.0,"(714.0006435140967, -286.60220408439636)",-92.14890296076923
0.0,"(714.6608335673809, -286.5039029121399)",-91.87963641311983
0.0,"(714.6359090209007, -286.2900937795639)",-91.73586093109105
0.0,"(713.5765543952584, -286.46333849430084)",-92.06707046432332
0.0,"(714.3630059063435, -286.4881386756897)",-91.9046075847254
0.0,"(714.4679635688663, -286.6883589029312)",-92.13192994068176
0.0,"(713.9317333698273, -286.71111392974854)",-92.13590511077871
0.0,"(713.7822483181953, -286.4654378890991)",-92.01979872507766
0.0,"(714.5418721064925, -286.3801258802414)",-91.80087750180041
0.0,"(713.8075260072947, -286.34561586380005)",-91.98976638329711
0.0,"(714.6717806831002, -286.47871112823486)",-91.92940117141254
0.0,"(714.0332776010036, -286.6430925130844)",-92.09098295660753
0.0,"(713.7453204616904, -286.8756012916565)",-92.22886398538257
0.0,"(714.309605486691, -286.3875287771225)",-91.81348603100825
0.0,"(714.5484511554241, -286.44962215423584)",-91.83123769266112
0.0,"(713.9653013646603, -286.43932592868805)",-92.08891340928902
0.0,"(713.7324616611004, -286.80494225025177)",-92.1571811500433
0.0,"(714.1160051375628, -286.7233935594559)",-92.04533680238434
0.0,"(714.0496374368668, -286.49148988723755)",-92.06393540749428
0.0,"(714.1759066209197, -286.59582364559174)",-92.0262805746
0.0,"(714.0215465724468, -286.79191768169403)",-92.08075816342001
0.0,"(713.8813071772456, -286.47449338436127)",-91.98258785447943
0.0,"(714.039743795991, -286.76948153972626)",-92.03979751896746
0.0,"(714.0673585310578, -286.7124911546707)",-92.06368269049499
0.0,"(713.9210874810815, -286.6469175815582)",-92.0362321602207
0.0,"(714.1204531565309, -286.53941822052)",-91.9870343076291
0.0,"(714.2388522103429, -286.58104717731476)",-92.04153921720581
0.0,"(714.4446819089353, -286.41343104839325)",-91.78958719910237
0.0,"(714.2117825075984, -286.58512461185455)",-91.89477211232058
0.0,"(714.0516189709306, -286.6679056882858)",-91.99159687399468
0.0,"(713.9504204466939, -286.7434592247009)",-92.11857009066522
0.0,"(713.8383788540959, -286.7815341949463)",-92.21150164451241
0.0,"(714.3511628210545, -286.68059968948364)",-91.95806064516991
0.0,"(713.8888366147876, -286.5679335594177)",-91.98106472229452
0.0,"(714.0123164355755, -286.60450780391693)",-91.97781355224959
0.0,"(713.9934201687574, -286.5152769088745)",-92.07183793636399
0.0,"(713.8095950037241, -286.7311911582947)",-92.14205911122089
0.0,"(714.0336700305343, -286.6106926202774)",-92.07918038972174
0.0,"(714.0345118120313, -286.5810292959213)",-91.98798370392373
0.0,"(713.8369197174907, -286.83674359321594)",-92.11989514736419
0.0,"(714.5091681107879, -286.6436131000519)",-92.01070091310321
0.0,"(713.8149518221617, -286.69028425216675)",-92.14359590378415
0.0,"(714.642274800688, -286.4578505754471)",-91.78891784056371
0.0,"(714.1913840398192, -286.5213977098465)",-91.91903294425246
0.0,"(714.1324219629169, -286.7317090034485)",-92.00239540307247
0.0,"(714.0086908489466, -286.8042869567871)",-92.21286768234641
0.0,"(714.4750226438046, -286.5072102546692)",-91.96760241944042
0.0,"(714.090891957283, -286.643795132637)",-92.09306616430439
0.0,"(714.6418567299843, -286.44513750076294)",-91.80835655894157
0.0,"(714.7375822030008, -286.27876794338226)",-91.73231606291182
0.0,"(714.275180272758, -286.43744564056396)",-91.9886325718949
0.0,"(713.7286768257618, -286.67331659793854)",-92.23169168369897
0.0,"(714.441698141396, -286.6274666786194)",-91.9692484950304
0.0,"(714.0749373435974, -286.6628918647766)",-92.05175035001498
0.0,"(714.0647131130099, -286.57988572120667)",-91.9738247217743
0.10889739997219294,"(713.6207703202963, -286.75034034252167)",-92.14828141355477
0.21136950002983212,"(713.5227865353227, -286.68559980392456)",-92.22389843785598
0.3215439000632614,"(713.713825121522, -286.59594345092773)",-92.16715322623152
0.4278492999728769,"(714.1415512189269, -286.6616635322571)",-92.09403605116653
0.5414639000082389,"(714.2503979951143, -286.5830820798874)",-91.90154082978806
0.6482564000179991,"(713.956648491323, -286.65006828308105)",-92.07407823841174
0.7534435000270605,"(714.0207443013787, -286.7036770582199)",-92.08752688088751
0.8576144999824464,"(714.1606945097446, -286.60962176322937)",-92.0181048381635
0.9589194000000134,"(714.0930964723229, -286.7462772130966)",-92.11254586381726
1.0576677999924868,"(713.7321404963732, -286.61277878284454)",-92.14980454573968
1.1688624999951571,"(713.8989590778947, -286.62324953079224)",-92.10006027801448
1.2915368999820203,"(713.8820203617215, -286.4653627872467)",-91.99432211947351
1.41363409999758,"(713.7700446248055, -286.59905445575714)",-92.07951506899109
1.5209631000179797,"(714.1900523677468, -286.5637630224228)",-92.09765605142664
1.639209600049071,"(714.0452839955688, -286.71285104751587)",-92.1369979410459
1.746606000000611,"(713.7045088559389, -286.65928542613983)",-92.21287451253558
1.8632814000593498,"(714.5575180314481, -286.3905756473541)",-91.76435648030835
1.9866571000311524,"(713.8508046939969, -286.501833319664)",-91.95397619204624
2.094167900038883,"(713.5799355581403, -286.5485017299652)",-92.21839330538495
2.2037822999991477,"(713.9060732424259, -286.8247582912445)",-92.158294470878
2.3212016000179574,"(713.9555002301931, -286.7290093898773)",-92.16994677360205
2.438457899959758,"(714.1082986220717, -286.64769446849823)",-92.06496676605896
2.5675666000461206,"(714.8486148752272, -286.6105070114136)",-91.77204727331379
2.68962509999983,"(713.9878944903612, -286.687836766243)",-91.96725407979275
2.8053731999825686,"(713.734397560358, -286.6296104192734)",-92.05393601054938
2.9437943999655545,"(714.4722358733416, -286.6701499223709)",-91.8876823759621
3.0611211999785155,"(714.0991162136197, -286.6386479139328)",-92.09062095658152
3.1675627999939024,"(713.8355785608292, -286.64286947250366)",-92.11558529799791
3.2799784999806434,"(713.7411376535892, -286.7038531303406)",-92.2267397965507
3.3993255000095814,"(714.5122350603342, -286.70582580566406)",-92.06355291690076
3.504098500008695,"(713.8167761415243, -286.63584756851196)",-92.08357220135807
