timeStamp,robotRealCenCoords,robotHeading
0.0,"(718.3079286664724, -286.44165766239166)",-92.23173266483398
0.0,"(718.5152207762003, -286.0978127717972)",-92.1226955249239
0.0,"(718.0460745319724, -286.27542304992676)",-92.159981527603
0.0,"(718.532793276012, -286.12802731990814)",-92.15227707421923
0.0,"(717.9234284311533, -286.21042001247406)",-92.31148878377222
0.0,"(717.7595703974366, -286.0884094238281)",-92.23825549549134
0.0,"(718.1562019735575, -286.19580364227295)",-92.2234817963166
0.0,"(718.1880358234048, -286.2501730918884)",-92.25597300619836
0.0,"(718.0527647137642, -286.06408619880676)",-92.14487314915893
0.0,"(717.631539195776, -286.2003277540207)",-92.29886659418604
0.0,"(718.0412284731865, -286.21749687194824)",-92.27019346005032
0.0,"(718.5874946564436, -286.0970984697342)",-92.09517669275792
0.0,"(717.9255461767316, -286.35351300239563)",-92.33369372876393
0.0,"(717.947314158082, -286.2868938446045)",-92.27020712042867
0.0,"(717.8226243406534, -286.4249711036682)",-92.35455312648915
0.0,"(718.5728975385427, -286.11997079849243)",-92.1718045850563
0.0,"(718.7433742806315, -286.3102536201477)",-92.18763013336321
0.0,"(718.4270398616791, -286.0228488445282)",-92.15333575354057
0.0,"(718.1697483360767, -286.1548352241516)",-92.21613251276968
0.0,"(718.3968256637454, -286.2371518611908)",-92.15395047056587
0.0,"(718.6057697981596, -286.2397516965866)",-92.14308363959638
0.0,"(718.6920915395021, -286.35200250148773)",-92.2314799478347
0.0,"(717.0547092482448, -286.33471405506134)",-92.40037686563076
0.0,"(718.1752018555999, -286.20924961566925)",-92.1709371510317
0.0,"(718.91756477952, -286.1662631034851)",-92.09323008884446
0.0,"(717.860452234745, -286.33085691928864)",-92.29875731115932
0.0,"(718.1371295303106, -286.0510902404785)",-92.21852307897917
0.0,"(718.1780797317624, -286.336950302124)",-92.27573957365638
0.0,"(718.4841966181993, -285.99500024318695)",-92.08648869213366
0.0,"(718.2527413144708, -286.0631880760193)",-92.13918360158031
