timeStamp,robotRealCenCoords,robotHeading
0.0,"(715.4317745864391, -285.81139755249023)",-91.70086304178392
0.0,"(715.0256637185812, -285.7664394378662)",-91.73918040302769
0.0,"(715.3620679490268, -285.7287269830704)",-91.67179375667634
0.0,"(715.2765286453068, -285.7142444849014)",-91.6699359452221
0.0,"(715.158047541976, -285.7596278190613)",-91.67810485146943
0.0,"(715.7951272875071, -285.7516088485718)",-91.67402039834576
0.0,"(715.0938405543566, -286.05102145671844)",-91.8465236560236
0.0,"(714.9674125388265, -285.96772360801697)",-91.86407724219053
0.0,"(715.2559756487608, -285.6146762371063)",-91.65310635910718
0.0,"(715.1533830836415, -285.52796506881714)",-91.61342296002941
0.0,"(714.836760930717, -285.9106513261795)",-91.8811458849264
0.0,"(715.0040956586599, -286.0628385543823)",-91.88180158308673
0.0,"(715.5044222250581, -285.89368510246277)",-91.7718833487737
0.0,"(715.3305771499872, -285.6524429321289)",-91.65235503829848
0.0,"(714.8237043246627, -285.76926124095917)",-91.79217584079781
0.0,"(715.3307306058705, -285.60086834430695)",-91.617022469722
0.0,"(714.9276422858238, -286.016716837883)",-91.89077645165612
0.0,"(714.9574368968606, -285.82799422740936)",-91.92846543549625
0.0,"(715.6029109507799, -285.7072923183441)",-91.59420963789417
0.0,"(714.3214706256986, -285.9267772436142)",-91.92989294503278
0.0,"(715.2841668128967, -285.9647653102875)",-91.79738727513454
0.0,"(715.6584196686745, -285.9085541963577)",-91.77218387709719
0.0,"(715.6719093844295, -285.7841191291809)",-91.68664941812112
0.0,"(715.4071297831833, -285.7508817911148)",-91.61744594145054
0.0,"(714.6076987087727, -285.82501566410065)",-91.83432493816596
0.0,"(715.2196813896298, -286.02718019485474)",-91.84612750505174
0.0,"(715.0691554099321, -286.02849304676056)",-91.8793905263097
0.0,"(715.8336077332497, -285.8505837917328)",-91.69690836225448
0.0,"(716.1956109926105, -285.53047251701355)",-91.43609075860837
0.0,"(716.0722112245858, -285.54058170318604)",-91.39894135971267
0.0,"(715.6011768653989, -285.8296608924866)",-91.65099583065366
0.0,"(715.5608862377703, -285.921257853508)",-91.75333938517711
0.0,"(715.4531949646771, -285.85746943950653)",-91.68137651208187
0.0,"(714.9112048745155, -285.81735050678253)",-91.74188515793901
0.0,"(714.9595603048801, -285.7409727573395)",-91.80128731315061
0.0,"(714.9077522084117, -285.95930898189545)",-91.82293218263038
0.0,"(715.4975245632231, -285.79992043972015)",-91.6770871532831
0.0,"(715.3669879958034, -285.81890642642975)",-91.7593362912684
0.0,"(715.392008960247, -285.9681111574173)",-91.7738436130655
0.0,"(715.780835095793, -285.8578727245331)",-91.63970552795561
0.0,"(715.2506160847843, -285.73072135448456)",-91.68042711578724
0.0,"(714.9446248672903, -285.9044551849365)",-91.78180761363774
0.0,"(715.4832081981003, -285.89422249794006)",-91.72114870361885
0.0,"(715.2293779924512, -285.90374410152435)",-91.80220938868857
0.0,"(715.7939027696848, -285.7322506904602)",-91.60678401615615
0.0,"(715.3411887101829, -285.7361639738083)",-91.72719342103431
0.0,"(715.4128605090082, -285.59023916721344)",-91.66519579393811
