timeStamp,robotRealCenCoords,robotHeading
0.0,"(212.25685918331146, -172.1209659576416)",-67.42545548620981
0.0,"(212.09980648756027, -172.14531409740448)",-67.62385199103117
0.0,"(212.87616246938705, -172.48210084438324)",-67.3618869156045
0.0,"(212.71320360898972, -172.35156571865082)",-67.38547155880856
0.0,"(213.07098907232285, -172.45486497879028)",-67.30034691118269
0.0,"(211.8184027671814, -172.04183268547058)",-67.60026734782711
0.0,"(212.9459731578827, -172.28747284412384)",-67.37724118085869
0.0,"(213.42838966846466, -172.4077194929123)",-67.2309658495937
0.0,"(212.09095019102097, -172.04008102416992)",-67.51657703992696
0.0,"(213.91258281469345, -172.73767375946045)",-67.15139414576305
0.0,"(212.35869717597961, -172.16793382167816)",-67.50455590698773
0.0,"(212.66580361127853, -172.2071816921234)",-67.41537412699488
0.0,"(212.00885957479477, -172.0223388671875)",-67.56778979832372
0.0,"(213.07046312093735, -172.51148772239685)",-67.33242830971425
0.0,"(212.01494294404984, -172.01889741420746)",-67.5746473082504
0.0,"(213.30050003528595, -172.33769476413727)",-67.3050802322775
0.0,"(212.1793810725212, -172.46871638298035)",-67.44220994024386
0.0,"(211.91507095098495, -171.96512508392334)",-67.57359545911822
0.0,"(211.9838199019432, -172.02390015125275)",-67.55690930697588
0.0,"(212.08916866779327, -172.09801721572876)",-67.51355126612464
0.0,"(212.76374751329422, -172.3775601387024)",-67.37096423701145
0.0,"(212.5359741449356, -172.2825549840927)",-67.41411737218759
0.0,"(212.7293148636818, -172.13529288768768)",-67.45308360140251
0.0,"(211.96471798419952, -172.05490517616272)",-67.56132843936888
0.0,"(212.57696801424026, -172.06454956531525)",-67.45406714864299
0.0,"(211.98773139715195, -172.13744294643402)",-67.5116934546704
0.0,"(211.65154880285263, -172.05196392536163)",-67.61458342432746
0.0,"(212.89465314149857, -172.1040459871292)",-67.3937975594068
0.0,"(212.5657395720482, -172.49549758434296)",-67.36277484019661
0.0,"(213.43338131904602, -172.62151908874512)",-67.30024445834513
0.0,"(212.093892455101, -172.47124338150024)",-67.47500850863825
0.0,"(213.5711646080017, -172.5832052230835)",-67.29734162794789
0.0,"(212.44693171977997, -172.25994777679443)",-67.44162254397523
0.0,"(212.82347631454468, -172.20895421504974)",-67.38852465336755
0.0,"(212.54158014059067, -172.11571550369263)",-67.48056828262264
0.0,"(211.80660563707352, -172.01544952392578)",-67.61996561339343
0.0,"(213.25652891397476, -172.4815617799759)",-67.35530944343378
0.0,"(211.98579037189484, -172.03692269325256)",-67.55044794802104
0.0,"(211.90273183584213, -172.1430026292801)",-67.61019844288032
0.0,"(212.67075419425964, -172.23555254936218)",-67.41216393808497
0.0,"(212.0856367945671, -172.04881751537323)",-67.53903470191796
0.0,"(213.1681922674179, -172.42185962200165)",-67.36099899101241
0.0,"(213.51934152841568, -172.61022317409515)",-67.28747200459722
0.0,"(212.23658168315887, -172.40183675289154)",-67.45369831842781
0.0,"(211.78847098350525, -172.02380990982056)",-67.60888704655967
0.0,"(212.06428176164627, -172.18516993522644)",-67.50666643544126
0.0,"(211.88727670907974, -172.18950200080872)",-67.5894756489385
0.0,"(211.96162980794907, -172.15459752082825)",-67.52249881393736
0.0,"(212.42944353818893, -172.03764474391937)",-67.46760458357797
0.0,"(212.3658275604248, -172.19630086421967)",-67.47880609381679
0.0,"(212.9057868719101, -172.403107047081)",-67.33399925322334
0.0,"(213.4858209490776, -172.59788846969604)",-67.25317079458542
0.0,"(211.95035189390182, -171.97902250289917)",-67.55122658958643
0.0,"(213.89957082271576, -172.6917860507965)",-67.16874965644405
0.0,"(212.06656628847122, -172.04140651226044)",-67.52324330455689
0.0,"(212.4196504354477, -172.3283302783966)",-67.44288612897168
0.0,"(212.25926995277405, -172.2907338142395)",-67.51712345506056
0.0,"(212.53317940235138, -172.4772254228592)",-67.41975227825286
0.0,"(212.38907313346863, -172.5222544670105)",-67.42648001458531
0.0,"(213.12601566314697, -172.44046592712402)",-67.35183287714625
0.0,"(212.80921798944473, -172.1393622159958)",-67.39708971058676
0.0,"(212.91836142539978, -172.39307475090027)",-67.40946601336282
0.0,"(211.8069988489151, -172.18614053726196)",-67.55329613690495
0.0,"(212.78393930196762, -172.21402084827423)",-67.35877917953215
0.0,"(212.00164026021957, -172.07897925376892)",-67.54419832493049
0.0,"(212.20839512348175, -172.0910792350769)",-67.50804613365361
0.0,"(213.24268674850464, -172.57284498214722)",-67.2319903779692
0.0,"(212.48502135276794, -172.1507602930069)",-67.37933804893389
0.0,"(212.84937822818756, -172.3962436914444)",-67.38842903071918
0.16336539998883381,"(212.72910165786743, -172.32547616958618)",-67.39867431447419
0.30478710000170395,"(212.659950196743, -172.46110582351685)",-67.38091582263216
0.4448231999995187,"(213.4595012664795, -172.5869917869568)",-67.27706279630212
0.6066111999680288,"(211.81809359788895, -171.93810558319092)",-67.5836221768198
0.7483650999492966,"(213.4572268128395, -172.55181753635406)",-67.24991279435132
0.8953391999821179,"(212.96412247419357, -172.52364838123322)",-67.30235498679868
1.041017399984412,"(213.10687178373337, -172.39642941951752)",-67.3007089112087
1.1834473999915645,"(212.3763821721077, -172.09594702720642)",-67.48475518858386
1.3292809999547899,"(211.79558581113815, -172.028586268425)",-67.59272681898342
1.4846019999822602,"(211.63156378269196, -172.00335109233856)",-67.6217756135235
1.6391784999868833,"(213.32406997680664, -172.2496222257614)",-67.30626868519309
1.773305499984417,"(212.72416937351227, -172.14183402061462)",-67.41266937208356
1.9278105999692343,"(213.4958690404892, -172.6079592704773)",-67.27353158850121
2.0727714999811724,"(212.32549476623535, -172.03949999809265)",-67.47655896157985
2.2135026999749243,"(212.45958119630814, -172.39443266391754)",-67.48320473564227
2.350280999962706,"(212.31718623638153, -172.14594769477844)",-67.45156729940678
2.4936991999857128,"(213.03779816627502, -172.5523203611374)",-67.33503744197718
2.649608499952592,"(211.98776626586914, -172.41657090187073)",-67.5188446627314
2.7808303999481723,"(212.7433966398239, -172.44916319847107)",-67.37386023721953
2.9383034999482334,"(213.24913650751114, -172.60752284526825)",-67.31490887449316
3.0765200999449007,"(212.50730484724045, -172.31269371509552)",-67.38193352081849
3.2293683999450877,"(212.84914070367813, -172.3869571685791)",-67.35950317958417
3.37407289998373,"(212.78071516752243, -172.1237666606903)",-67.42811242979695
3.504120899946429,"(212.38410997390747, -172.38180780410767)",-67.37849110547681
3.656688299961388,"(213.55814015865326, -172.4928172826767)",-67.26689264462797
3.813284499978181,"(211.9817309975624, -172.08314442634583)",-67.55310489160819
3.985632899974007,"(212.32043600082397, -172.1185792684555)",-67.48000137692154
4.128700299945194,"(211.78722262382507, -172.056276679039)",-67.60194074417377
4.265795199957211,"(212.13204908370972, -172.22930443286896)",-67.49472726477208
4.404486799961887,"(212.5642341375351, -172.27387177944183)",-67.48314326393974
4.544791799969971,"(212.30655527114868, -172.5069991350174)",-67.46163499824337
4.688875299994834,"(213.87522649765015, -172.61351764202118)",-67.16364750513405
4.832418999983929,"(213.04340654611588, -172.52204430103302)",-67.25044554910657
4.974834399996325,"(212.39136600494385, -172.24292588233948)",-67.43895877019892
5.1171077999752015,"(212.03851234912872, -171.9765923023224)",-67.53593379603477
5.259914900001604,"(212.05258280038834, -171.99176490306854)",-67.58829402621208
5.4179415999678895,"(212.87426453828812, -172.4976646900177)",-67.37517846372936
5.558438099978957,"(211.83850920200348, -172.10322523117065)",-67.59275413974011
5.702143499976955,"(212.6441348195076, -172.32186353206635)",-67.4128401268128
5.84550939995097,"(212.04727828502655, -171.9604992866516)",-67.58837598848213
6.005242899991572,"(212.39711451530457, -172.11983370780945)",-67.4757051879336
6.154223899997305,"(212.82317352294922, -172.36231458187103)",-67.36394280254468
6.298431899980642,"(212.1071878671646, -172.1914862394333)",-67.49052669843253
6.4380864999839105,"(212.7077073454857, -172.15188837051392)",-67.39213782343849
6.569332999992184,"(213.34172403812408, -172.43873810768127)",-67.2859283818448
6.712252199999057,"(211.82273596525192, -172.08429968357086)",-67.56538557173586
6.856388399959542,"(212.9129871726036, -172.36631953716278)",-67.39381121978515
7.010636699968018,"(212.96642816066742, -172.23065531253815)",-67.37251468995305
