timeStamp,robotRealCenCoords,robotHeading
0.0,"(718.5162802934647, -288.97327053546906)",-92.55145381988228
0.0,"(717.4002227559686, -289.1515316963196)",-92.82718172648653
0.0,"(718.7440859004855, -289.01077222824097)",-92.48462041885371
0.0,"(719.0539886206388, -288.74984884262085)",-92.39343739343404
0.0,"(718.8182390332222, -289.07863903045654)",-92.49437392898848
0.0,"(718.9685016199946, -288.88335728645325)",-92.3643134668131
0.0,"(718.3004748299718, -288.8536390066147)",-92.49892283497572
0.0,"(719.4463825896382, -288.8142845630646)",-92.35639044737589
0.0,"(719.0602275654674, -288.8576605319977)",-92.36899897658373
0.0,"(718.6570597290993, -288.88841807842255)",-92.47913577695019
0.0,"(717.4342215955257, -289.1833795309067)",-92.82707927364898
0.0,"(719.4613973870873, -288.85541677474976)",-92.29180417858424
0.0,"(718.6171283870935, -289.07856583595276)",-92.58384940711565
0.0,"(718.613437756896, -288.85407769680023)",-92.466192568473
0.0,"(718.2488494887948, -288.75488233566284)",-92.52455653493077
0.0,"(718.3883015885949, -288.85042452812195)",-92.5377592905964
0.0,"(719.2808633670211, -288.8897782564163)",-92.41271901746099
0.0,"(718.9827124103904, -288.7483470439911)",-92.37718837339858
0.0,"(718.0332168489695, -289.0562036037445)",-92.60054921963633
0.0,"(718.7763324603438, -288.7229311466217)",-92.44572932171965
0.0,"(718.148198582232, -289.012002825737)",-92.740704701405
0.0,"(719.1508773714304, -288.85834991931915)",-92.32621467162276
0.0,"(718.2620589882135, -289.2732882499695)",-92.50714638273641
0.0,"(718.8848531246185, -288.8306826353073)",-92.39952309198452
0.0,"(718.2803264334798, -288.9471743106842)",-92.5263255539258
0.0,"(719.2954079955816, -288.67868757247925)",-92.36576829710631
0.0,"(719.6676232293248, -288.6962854862213)",-92.27319191309596
0.0,"(718.4820156022906, -289.00535821914673)",-92.5412700078298
0.0,"(717.5393613502383, -289.2964131832123)",-92.86959037104313
0.0,"(719.0173333734274, -288.7607777118683)",-92.38149822276485
0.0,"(719.0115385726094, -288.908136844635)",-92.4458317745572
0.0,"(717.944108530879, -289.023734331131)",-92.73519956893396
0.0,"(718.005859978497, -289.0555297136307)",-92.62351231562592
0.0,"(719.1622111797333, -288.8057041168213)",-92.36477108948749
0.0,"(719.4229763895273, -288.74769032001495)",-92.31876293523828
0.0,"(718.340886875987, -289.0118908882141)",-92.59138310577018
0.0,"(718.002633728087, -289.2052825689316)",-92.60513910675859
0.0,"(718.2136003226042, -289.16973662376404)",-92.58604189783922
0.0,"(718.2169655784965, -288.9515417814255)",-92.57697140662145
0.0,"(718.6502894535661, -288.93038260936737)",-92.50618332606344
0.0,"(718.3530831038952, -288.9216960668564)",-92.62306152314069
0.0,"(718.2978769987822, -288.93499863147736)",-92.6031515217101
0.0,"(718.7086390480399, -289.0809733867645)",-92.49041924945905
0.0,"(719.3717771619558, -288.800784945488)",-92.37462705245981
0.0,"(719.167331084609, -288.79908978939056)",-92.36038610804034
0.0,"(719.3495310470462, -288.7846989631653)",-92.31297093482212
0.0,"(717.817013643682, -289.0245716571808)",-92.65978745030785
0.0,"(717.5445296019316, -289.0444645881653)",-92.71184032197252
0.0,"(719.0256607234478, -288.95711624622345)",-92.43921332125146
0.0,"(718.2008862122893, -288.88895893096924)",-92.57464231211448
0.0,"(718.4427392780781, -289.0805081129074)",-92.58130174655524
0.0,"(719.0565816387534, -288.9597005844116)",-92.42560075423563
0.0,"(718.6775887459517, -288.7110629081726)",-92.42583981085657
0.10199580003973097,"(717.9456675574183, -288.98791217803955)",-92.64186503392574
0.2743291000369936,"(719.2813883721828, -288.87003684043884)",-92.36190924022526
0.46088290004990995,"(719.2534033879638, -288.91570723056793)",-92.45425339780383
0.6329316000919789,"(717.5260986611247, -289.08322525024414)",-92.76185096707535
0.8201399000827223,"(718.2007716447115, -288.7273384332657)",-92.54015668699508
1.0137291999999434,"(717.9135634824634, -289.30924236774445)",-92.76136602364429
1.207219700096175,"(718.7319089174271, -288.9130349159241)",-92.45609071869056
1.391394800040871,"(718.277900211513, -289.05557429790497)",-92.56606359451693
1.5793132000835612,"(718.339352414012, -289.01900577545166)",-92.56253238671604
1.7500226000556722,"(718.9537404254079, -288.8949216604233)",-92.45348158642761
1.938155300100334,"(717.327405333519, -289.20690536499023)",-92.91631569515519
2.1410544000100344,"(717.9189017936587, -289.23079335689545)",-92.67042888503474
2.3382328000152484,"(718.7174904122949, -288.85495865345)",-92.42882460352388
2.537054100073874,"(718.9196378067136, -288.91205847263336)",-92.39091022344113
2.7273722999962047,"(718.7497304454446, -289.0114425420761)",-92.47189577642997
3.0007265000604093,"(718.4025237336755, -289.01866042613983)",-92.48982502300126
3.357913500047289,"(718.9493336975574, -289.02544844150543)",-92.43372184915877
3.6309399000601843,"(718.3118534237146, -288.99365842342377)",-92.59544706832634
3.8589885000837967,"(718.2932282835245, -289.1043291091919)",-92.5989168044247
4.129651100025512,"(718.5270279496908, -289.1226086616516)",-92.49280981566855
4.330874600098468,"(718.3350847885013, -288.9596302509308)",-92.65983526163204
4.540104100015014,"(718.5613914951682, -289.1046552658081)",-92.5242764971748
4.7350597000913695,"(718.8233992680907, -288.9495277404785)",-92.39245384619355
5.1691253000171855,"(718.7998313829303, -289.0822706222534)",-92.47416339923441
5.464722900069319,"(718.5968672260642, -288.9431552886963)",-92.50877196775888
5.67550710006617,"(719.1248220652342, -288.66154861450195)",-92.3179638031054
5.846333299996331,"(719.2819354906678, -288.8270719051361)",-92.32182969017562
6.0182785000652075,"(718.9712927415967, -288.8059650659561)",-92.35462142838085
6.172536000027321,"(718.6021701619029, -289.0389713048935)",-92.4833021923439
6.3247499000281096,"(719.339136518538, -288.95789909362793)",-92.38847867609661
6.484485300024971,"(719.0830148905516, -288.7568680047989)",-92.41110026262768
6.641811800072901,"(718.3927559256554, -288.9935312271118)",-92.54776551773047
6.825716900057159,"(718.8941884487867, -288.7391356229782)",-92.43460977375088
7.009199500083923,"(718.7162717357278, -288.9747965335846)",-92.48884830594994
7.170408000005409,"(718.0340273156762, -289.08087170124054)",-92.7202277942733
7.334623000002466,"(719.1278052404523, -288.773476600647)",-92.30515036822246
7.4941300000064075,"(718.4469631463289, -288.7428059577942)",-92.5252122330911
7.6563621000386775,"(718.1343979611993, -289.0645561218262)",-92.69297533948495
7.826517000095919,"(719.6578372195363, -288.7992436885834)",-92.30289640579635
8.012820600066334,"(718.8330492451787, -288.92340898513794)",-92.40313626205545
8.217290200060233,"(718.9664068371058, -288.51677119731903)",-92.35203961687459
8.407238200074062,"(718.249804623425, -288.9262306690216)",-92.60386186138379
8.556600900017656,"(718.5666437000036, -289.0699179172516)",-92.5374655924621
8.718187500024214,"(719.3557519838214, -288.9239100217819)",-92.39702324274829
8.888140300055966,"(718.2080644592643, -288.9115289449692)",-92.4674015119561
9.06050410005264,"(718.7923431843519, -288.8189572095871)",-92.41066996070998
9.24718639999628,"(719.0170680880547, -288.8502604961395)",-92.40860724358063
9.432536300038919,"(718.3496833890676, -288.83908700942993)",-92.5139560813389
9.608914100099355,"(719.7489361912012, -288.9072161912918)",-92.2881227066216
9.77030840003863,"(718.678368806839, -288.90232038497925)",-92.48961328713699
9.953230100101791,"(717.2107631862164, -288.86476469039917)",-92.79984047923897
10.156995200086385,"(719.151241235435, -289.01979207992554)",-92.4452170575319
10.332646100083366,"(719.6341020464897, -288.7416635751724)",-92.22816730608724
10.525805300101638,"(717.9905285909772, -288.98871672153473)",-92.56156933004307
10.70084480009973,"(719.3499653637409, -288.88691544532776)",-92.31825067105054
10.884839200065471,"(719.1133095175028, -288.8251826763153)",-92.41379135716068
11.086772400070913,"(718.5957604050636, -288.92798364162445)",-92.52149661018261
11.28168950008694,"(718.1041012182832, -288.8901666402817)",-92.62489884402743
11.472076500067487,"(718.5926599428058, -289.1573488712311)",-92.58516763362546
11.650865000090562,"(718.7250872403383, -288.92229759693146)",-92.49129351367282
