timeStamp,robotRealCenCoords,robotHeading
0.0,"(722.4395308289677, -286.74480748176575)",-89.71853040878194
0.0,"(722.5538555914536, -286.75562262535095)",-89.76459320454451
0.0,"(723.2571029569954, -286.81442284584045)",-89.58777326731122
0.0,"(723.3957902546972, -286.624005317688)",-89.53505786729706
0.0,"(722.0577115609776, -286.92641973495483)",-89.92984963151297
0.0,"(722.2382902419195, -286.7729585170746)",-89.89125906270239
0.0,"(723.1599533203989, -286.5204484462738)",-89.567596888503
0.0,"(723.1657247329131, -286.7298171520233)",-89.58571055018187
0.0,"(722.9150562779978, -286.73308277130127)",-89.62438991145166
0.0,"(721.6333795245737, -286.69428503513336)",-89.92995208435052
0.0,"(722.4416972198524, -286.8158299922943)",-89.79282920657334
0.0,"(722.6143691055477, -286.69851076602936)",-89.72262169209478
0.0,"(721.9115285787266, -286.90705049037933)",-89.96561933219633
0.0,"(722.8997003044933, -286.6466945409775)",-89.62323560948192
0.0,"(723.3480517789721, -286.65098762512207)",-89.54578809448314
0.0,"(722.9439207063988, -286.6842429637909)",-89.63432100650485
0.0,"(723.2491800822318, -286.59539234638214)",-89.53460707481184
0.0,"(722.9271080326289, -286.78850650787354)",-89.6081613819837
0.0,"(722.9985003229231, -286.7366267442703)",-89.62820115700852
0.0,"(723.8207720499486, -286.5261197090149)",-89.42781023694953
0.0,"(722.4950255239382, -286.694393992424)",-89.71562757838468
0.0,"(723.9911389220506, -286.60228765010834)",-89.34403796677931
0.0,"(722.7474423302338, -286.7178304195404)",-89.6564508194157
0.0,"(722.6103711118922, -286.7589160203934)",-89.72557233381623
0.0,"(721.6980923505034, -286.78792548179626)",-89.92485676322968
0.0,"(722.828064401634, -286.7627499103546)",-89.64936108305723
0.0,"(722.6665564225987, -286.709370970726)",-89.69181070874885
0.0,"(721.7792459132615, -286.8157778978348)",-89.97909529542876
0.0,"(722.7590961270034, -286.83878803253174)",-89.65983176305485
0.0,"(722.5815512165427, -286.86399817466736)",-89.71633791805837
0.0,"(722.8881161464378, -286.7846819162369)",-89.65678549868503
0.0,"(722.9544256450608, -286.7957218885422)",-89.59743115479762
0.0,"(722.7480378281325, -286.7055584192276)",-89.65263957385883
0.0,"(722.4375969180837, -286.78051149845123)",-89.72262169209478
0.0,"(723.0473938463256, -286.7999324798584)",-89.58881828625422
0.0,"(723.3755240831524, -286.60265481472015)",-89.5440668868123
0.0,"(723.1434870259836, -286.6989129781723)",-89.58026688941338
0.16421909997006878,"(722.6117350198328, -286.87726724147797)",-89.76001014761142
0.41416009998647496,"(722.1850795103237, -286.9790654182434)",-89.80272615068068
0.704732799960766,"(722.722567891702, -286.7356404066086)",-89.70478806817188
0.9528005999745801,"(722.1661174846813, -286.66324281692505)",-89.77251622398173
1.1548323999741115,"(722.454763174057, -286.95428574085236)",-89.74953263742464
1.3892393999849446,"(722.5279097007588, -286.6390138864517)",-89.69543070900896
1.671594399958849,"(723.6962173357606, -286.8488128185272)",-89.4556227672498
1.9422494999598712,"(722.9306654818356, -286.7353150844574)",-89.59723307931169
2.2170695000095293,"(721.9141123392619, -286.91274857521057)",-89.88361608102115
2.5009041999583133,"(724.5316483136266, -286.68647050857544)",-89.2483538466966
2.7701584000024013,"(722.800251390785, -286.7148298025131)",-89.71268376685241
2.99824250000529,"(722.6107317721471, -286.7130489349365)",-89.73773007053884
3.2564693999593146,"(723.3546690493822, -286.65467619895935)",-89.5261649609977
3.4717034999630414,"(721.8289812412113, -286.9215008020401)",-89.85617238093604
3.71228749997681,"(722.5892378780991, -286.8207383155823)",-89.71190512528703
3.9445345999556594,"(721.6443416366819, -286.8536478281021)",-89.92866117859738
4.206390100007411,"(723.0830159718171, -286.63928639888763)",-89.59110639962618
4.453110000002198,"(722.583062899299, -286.7288168668747)",-89.67981689656631
4.70114590000594,"(722.1479885936715, -286.7385393381119)",-89.8671143439864
4.923411299998406,"(721.4026186091069, -286.9077578783035)",-90.01126548641952
5.162479599996004,"(723.5071060806513, -286.7410771846771)",-89.56043885025282
5.4085269999923185,"(723.2011771015823, -286.6786141395569)",-89.58662579553065
5.655979199975263,"(724.1037506088614, -286.6644835472107)",-89.37340095002119
5.9466266999952495,"(723.0619812272489, -286.9039421081543)",-89.62890466649303
6.214816699968651,"(723.374545769766, -286.7229903936386)",-89.45380593693059
6.457706899964251,"(722.5808222666383, -286.7299805879593)",-89.70797776651428
6.701905699970666,"(721.9292620122433, -286.768132686615)",-89.82710992601764
6.938193099980708,"(722.1746444161981, -286.839483499527)",-89.80454298099991
