timeStamp,robotRealCenCoords,robotHeading
0.0,"(720.3174752220511, -286.62354159355164)",-91.89320799900064
0.0,"(720.9603168293834, -286.59890472888947)",-91.7766235000577
0.0,"(720.5733068138361, -286.7448799610138)",-91.87702045066771
0.0,"(721.1348055005074, -286.61959195137024)",-91.71115613686312
0.0,"(720.60935151577, -286.7449667453766)",-91.79776976572805
0.0,"(721.5645289607346, -286.52201437950134)",-91.60396997821812
0.0,"(720.4332793280482, -286.8119423389435)",-91.86354448743528
0.0,"(722.1992251351476, -286.66625809669495)",-91.52241068933898
0.0,"(720.2492179647088, -286.8428876399994)",-91.92688766179798
0.0,"(721.050135858357, -286.7354828119278)",-91.76998455618444
0.0,"(720.7044239267707, -286.7628746032715)",-91.84236407081907
0.0,"(720.1211155802011, -286.97470593452454)",-91.99188374193982
0.0,"(720.6280973032117, -286.8236941099167)",-91.85831939272022
0.0,"(720.2573343738914, -286.76858854293823)",-91.91847286874052
0.0,"(720.7899230197072, -286.71051120758057)",-91.81239320074106
0.0,"(720.8576638177037, -286.85525691509247)",-91.75421364939088
0.0,"(720.1395666748285, -286.8464914560318)",-91.96530064569012
0.0,"(720.936919182539, -286.62828266620636)",-91.73107979867206
0.0,"(719.8640719354153, -286.9157649278641)",-92.03611604700482
0.0,"(721.0134876556695, -286.76015269756317)",-91.74362002598819
0.0,"(720.1108645275235, -286.8605238199234)",-91.97320317455983
0.0,"(720.8063604235649, -286.79758393764496)",-91.81870429553415
0.0,"(721.0990700721741, -286.71860122680664)",-91.73725428968174
0.0,"(720.1602018997073, -286.78126430511475)",-91.9948958553638
0.0,"(720.1762648522854, -286.79200863838196)",-91.97624943892966
0.0,"(719.8927170261741, -286.7994532585144)",-92.00466985606607
0.0,"(720.1119346171618, -286.7302979230881)",-91.93342415283368
0.0,"(719.9026184082031, -287.0395951271057)",-92.03483880163003
0.0,"(721.5271083079278, -286.6905450820923)",-91.69073387124479
0.0,"(720.2914009839296, -286.94677007198334)",-91.93290505845675
0.0,"(720.5924504771829, -286.6522339582443)",-91.85400271316477
0.0,"(721.0853942446411, -286.66294395923615)",-91.71752870335874
0.0,"(722.0458781383932, -286.56480491161346)",-91.49914706502592
0.0,"(720.5903177410364, -286.75721287727356)",-91.85353143011204
0.0,"(720.6882812678814, -286.5974749326706)",-91.81039878550341
0.0,"(720.4315869882703, -286.7862414121628)",-91.90489445267053
0.0,"(721.596711859107, -286.6587624549866)",-91.6203282812803
0.0,"(720.320700712502, -286.8221583366394)",-91.92821954868613
0.0,"(720.8111785762012, -286.6994353532791)",-91.7678535371634
0.0,"(720.5208161398768, -286.76600098609924)",-91.88615241358802
0.0,"(720.3258158788085, -286.85140109062195)",-91.93253622824157
0.0,"(721.7766029946506, -286.5957350730896)",-91.55624744648723
0.0,"(720.9278072267771, -286.7271976470947)",-91.74276625234194
0.0,"(720.6502757519484, -286.91303634643555)",-91.9090472076859
0.0,"(719.666566170752, -286.7914551496506)",-92.05896302977851
0.0,"(720.8274644352496, -286.7002798318863)",-91.79020191612769
0.0,"(720.0414445623755, -286.7244907617569)",-91.94050705900298
0.0,"(720.3714353740215, -286.70646381378174)",-91.90325520726974
0.0,"(720.7270895987749, -286.65292167663574)",-91.77469738671175
0.0,"(720.6741244792938, -286.77895307540894)",-91.82815727734544
0.0,"(720.8037765696645, -286.7208740711212)",-91.80554252100353
0.0,"(720.4317298159003, -286.7645729780197)",-91.91060449081667
0.0,"(720.9167222008109, -286.66901552677155)",-91.82574622056842
0.0,"(720.5588164925575, -286.8011521100998)",-91.84733644853483
0.0,"(720.2290983423591, -286.74135518074036)",-91.89023003652251
0.0,"(720.9848414286971, -286.5270549058914)",-91.73749334630268
0.0,"(721.1715964190662, -286.79071593284607)",-91.7334840252599
0.0,"(720.6514813527465, -286.7692519426346)",-91.84405112754406
0.0,"(720.7117829918861, -286.676416516304)",-91.82270678638777
0.0,"(720.308044783771, -286.82919907569885)",-91.90926577373934
0.0,"(720.1138290017843, -286.781019449234)",-91.96747947603536
0.0,"(721.7606284059584, -286.6089732646942)",-91.56346012625076
0.0,"(721.1853547357023, -286.81143057346344)",-91.75313447950202
0.0,"(719.8933361396194, -286.90292727947235)",-92.05820487878064
0.0,"(721.0323616564274, -286.6223019361496)",-91.73362062904329
0.0,"(720.2804711833596, -286.66051745414734)",-91.93573275677313
0.0,"(721.4178281165659, -286.67677557468414)",-91.68388319150726
0.0,"(719.9583323597908, -286.88390350341797)",-92.0206320081564
0.0,"(720.3985838964581, -286.62074422836304)",-91.91681996296137
0.0,"(720.4487257897854, -286.656392455101)",-91.87127626157573
0.06956789997639135,"(721.3335964940488, -286.60066080093384)",-91.68477794628853
0.19696609996026382,"(720.9615650251508, -286.76864743232727)",-91.77586534905983
0.3387579999980517,"(720.5063799992204, -286.77079570293427)",-91.82081482398767
0.46418999996967614,"(720.4257625192404, -286.78932416439056)",-91.91505094396635
0.586392099969089,"(720.6842617839575, -286.8135451078415)",-91.88325641337994
0.7260459999670275,"(722.0373997054994, -286.57926845550537)",-91.5087434808098
0.8906367999734357,"(720.4132272303104, -286.64652252197266)",-91.85250690173653
1.0432651999872178,"(719.5487227961421, -286.9779711961746)",-92.14104141303456
1.1835806999588385,"(720.5061716288328, -286.90285766124725)",-91.87917196025627
1.3173145999899134,"(720.4743690043688, -286.7181396484375)",-91.84573135407989
1.464572299970314,"(720.2040905579925, -286.75589430332184)",-91.90881498125412
1.5964411000022665,"(720.3836551755667, -286.6424278020859)",-91.875545129807
1.7310882000019774,"(721.5334079153836, -286.77929306030273)",-91.70087670216225
1.8632839999627322,"(720.2835522145033, -286.68032240867615)",-91.94134034208172
2.0058095999993384,"(721.2106547020376, -286.6274814605713)",-91.69903255108635
2.1379869999946095,"(719.5843251273036, -286.93904864788055)",-92.09736235329233
2.27363339997828,"(720.2953111603856, -286.8082586526871)",-91.95741177719876
2.3991063999710605,"(721.0954426191747, -286.6058785915375)",-91.71170255199672
2.535040899994783,"(720.3740233778954, -286.74811375141144)",-91.88693788534258
2.6602334000053816,"(720.5699208080769, -286.81523287296295)",-91.88650758342486
2.8238221000065096,"(720.2730158790946, -286.6986697912216)",-91.91341169856554
3.019355900003575,"(721.0801403783262, -286.7706890106201)",-91.71736477881866
3.1708594999508932,"(721.1319833695889, -286.7724701166153)",-91.71242655204874
3.2903563999570906,"(720.8035066351295, -286.7469449043274)",-91.82569840924424
3.426762599963695,"(720.8357821442187, -286.5573409795761)",-91.76189078201797
3.5640481999726035,"(721.221832536161, -286.6816794872284)",-91.77183553744952
3.708432899962645,"(720.4757852628827, -286.88647425174713)",-91.91126018897698
3.8334397999569774,"(719.8013272210956, -286.7226585149765)",-92.02935415972651
3.9673752999515273,"(719.7465332001448, -286.8723566532135)",-92.07735672921335
4.126084399991669,"(720.9748151004314, -286.81187987327576)",-91.74784108289526
4.300338900007773,"(720.5436963587999, -286.7186778783798)",-91.85012999590538
4.450200299965218,"(721.522888995707, -286.50656914711)",-91.58090442939098
4.586319699999876,"(720.3846610412002, -286.8026946783066)",-91.86543644983537
4.707365899987053,"(720.5887033715844, -286.7414696216583)",-91.85696018507538
4.8614595999824814,"(721.2492207549512, -286.6638984680176)",-91.66366583156402
5.009850699978415,"(720.623045027256, -286.7354680299759)",-91.84994558079778
5.139952400000766,"(719.9637126028538, -286.76184582710266)",-92.01686174373455
5.271640299994033,"(721.0116789676249, -286.64638340473175)",-91.70564417420292
5.445856100006495,"(720.9664637073874, -286.779110789299)",-91.75687059297802
5.582148999965284,"(721.1146912686527, -286.6954039335251)",-91.70894998576121
5.7295445000054315,"(721.2845196351409, -286.65962612628937)",-91.65908960482011
5.851910699973814,"(720.8268657401204, -286.7912400960922)",-91.82203742784911
5.978075899998657,"(721.4274594150484, -286.679368019104)",-91.68330262542781
6.106902199971955,"(720.1019415482879, -286.87213480472565)",-91.9914534400221
6.226726199965924,"(719.9664534553885, -286.8258932828903)",-92.00257981818005
6.365001199999824,"(720.481927216053, -286.6238445043564)",-91.89037347049509
6.504320100008044,"(721.0811852738261, -286.6930009126663)",-91.73645515754885
6.641166699992027,"(720.9118193387985, -286.7607694864273)",-91.79371263336107
6.794494499976281,"(721.4490394406021, -286.6927856206894)",-91.68175900267539
6.92871099995682,"(720.8951864130795, -286.6728297472)",-91.7302260250258
7.057677999953739,"(721.9897781945765, -286.57497549057007)",-91.54809220061824
7.199560899985954,"(720.1410282626748, -286.69226813316345)",-91.9397967193293
7.338744099950418,"(720.5394350290298, -286.76166439056396)",-91.91156071730046
7.469092599989381,"(719.4904559776187, -286.80827498435974)",-92.03589065076221
7.612849299970549,"(721.1056214384735, -286.6249393224716)",-91.72048617526936
7.752434899972286,"(721.3134833350778, -286.7459235191345)",-91.72050666583687
7.883096000005025,"(720.7547330483794, -286.7128372192383)",-91.76945180142918
8.021214199950919,"(720.8945856913924, -286.7711809873581)",-91.78253844387892
8.154540499963332,"(721.1111910007894, -286.5735671520233)",-91.72541074166094
8.288120699988212,"(721.5506853424013, -286.6513316631317)",-91.62629103642571
8.440005699987523,"(720.2498854994774, -286.7170820236206)",-91.88846784771665
8.571110599965323,"(720.7078244909644, -286.77013409137726)",-91.80716127583682
8.700627199956216,"(720.8333133608103, -286.7597873210907)",-91.77020995242705
8.842953799990937,"(720.81723709777, -286.64489936828613)",-91.74992429059212
8.98582429997623,"(719.939013466239, -286.9218201637268)",-92.05333495390242
9.108818899956532,"(720.0435006916523, -286.64911556243896)",-91.9375632474707
9.248996199981775,"(721.1265707239509, -286.65019977092743)",-91.75956851770017
9.384601500001736,"(720.9626985043287, -286.6899764537811)",-91.76846142399953
9.513164200005122,"(720.3239687010646, -286.7939373254776)",-91.95650336203914
9.677344299969263,"(720.0208240523934, -286.74636483192444)",-91.99122121359032
9.834641199966427,"(720.629887662828, -286.74933564662933)",-91.84606603334922
10.018474299984518,"(721.4246069863439, -286.59394454956055)",-91.6861303237442
10.179158699989785,"(721.0490753874183, -286.8817195892334)",-91.83713214591484
10.350458499975502,"(720.6186866313219, -286.66504204273224)",-91.79587097313879
10.491707199951634,"(721.7666376419365, -286.7352874279022)",-91.64349628294498
10.628017999988515,"(720.7959996983409, -286.65055751800537)",-91.75440489468764
10.779276099987328,"(720.1924047619104, -286.69571590423584)",-91.91154022673295
10.906291499966756,"(721.3731161914766, -286.8207950592041)",-91.7427525919636
11.036091199959628,"(720.2414977923036, -286.7269175052643)",-91.9076333585277
11.16722679999657,"(720.6816148012877, -286.69995844364166)",-91.89137750830308
11.301253299985547,"(719.8704883083701, -286.8678948879242)",-92.00183532756053
11.4484334999579,"(721.9667781479657, -286.7219681739807)",-91.56125397514886
11.588618099980522,"(720.8287524469197, -286.5183162689209)",-91.75347598896052
11.730089299962856,"(720.0813028812408, -286.8590131998062)",-91.9860097792536
11.879455299989786,"(720.8691622167826, -286.7747050523758)",-91.82192131463322
12.0134146999917,"(719.904385112226, -286.74711561203003)",-91.9795210995421
12.14613259996986,"(720.6276634857059, -286.54927456378937)",-91.80373935106265
12.283580899995286,"(720.1551883667707, -286.7795590162277)",-91.95110751259485
12.403353100002278,"(720.8768352642655, -286.75284373760223)",-91.8138616914126
12.545110899955034,"(719.7866010516882, -286.7979300022125)",-91.99581110071257
12.685388599988073,"(720.8036326020956, -286.7928059101105)",-91.84842244861287
12.825550099951215,"(719.6713568717241, -286.8933641910553)",-92.08633159778275
12.95157959999051,"(721.2403626777232, -286.6442880630493)",-91.72733685500688
13.08179199998267,"(720.1424494385719, -286.5609687566757)",-91.89535267840003
13.231242599955294,"(720.4868404790759, -286.9763652086258)",-91.92878645438724
13.380658499954734,"(720.8581242412329, -286.8178560733795)",-91.82366301287158
13.54021109995665,"(720.8120120614767, -286.7218989133835)",-91.81390950273679
13.68581539997831,"(721.0526347346604, -286.5980421304703)",-91.72970010045971
13.813794899964705,"(721.3444692529738, -286.67016685009)",-91.64267666024458
13.957091899996158,"(721.3992625400424, -286.6047433614731)",-91.64503307550822
14.108342899999116,"(719.4868369698524, -286.80549120903015)",-92.09719842875224
14.24515109998174,"(720.8306500464678, -286.5456233024597)",-91.75132447937197
14.380054999957792,"(721.6192028485239, -286.59835743904114)",-91.64210975454347
14.51771619997453,"(720.171687155962, -286.7072204351425)",-92.00767513930089
14.645950499980245,"(721.631902590394, -286.6884380578995)",-91.62038292279365
14.792038099956699,"(720.1402731612325, -286.944011092186)",-91.95467970153075
14.948539799952414,"(720.3758083507419, -286.67139422893524)",-91.9097780379271
15.098203599976841,"(720.1240219846368, -286.99152958393097)",-91.99647362906207
15.223418699984904,"(720.6287642717361, -286.7366236448288)",-91.800016897965
15.36480559996562,"(720.7101605385542, -286.8712022304535)",-91.8284646358581
15.505239099962637,"(720.0414877161384, -286.78115701675415)",-91.94675668209354
15.64641499996651,"(720.6516146808863, -286.6802701950073)",-91.82776795656275
15.780631999950856,"(720.1745380759239, -286.7162673473358)",-91.91786498190439
15.91294139996171,"(720.8324878960848, -286.83412873744965)",-91.83239882482002
16.053686400002334,"(719.9222952648997, -286.7788999080658)",-92.0095397809443
16.201134699978866,"(720.9157153964043, -286.74898302555084)",-91.80856146461667
16.355329899990465,"(720.7499280646443, -286.84441685676575)",-91.86694592164194
16.49899319995893,"(720.1710992380977, -286.79940128326416)",-91.93914785135814
16.64678249997087,"(719.6909649595618, -286.9519361257553)",-92.13111714817053
16.79688499995973,"(720.7074363306165, -286.7218828201294)",-91.80186787923006
16.954214599973056,"(720.9321732521057, -286.80090618133545)",-91.80011935080253
17.080251000006683,"(719.9402808323503, -286.7995215654373)",-92.04688725532593
17.206746999989264,"(720.1018103137612, -286.7854223251343)",-91.97596257098452
17.333132100000512,"(720.5054253488779, -286.76493656635284)",-91.8934197348649
17.47236369998427,"(720.2739453539252, -286.57138431072235)",-91.88001890371335
17.607074700004887,"(720.4022387266159, -286.93226397037506)",-91.90955947187365
17.74143940000795,"(720.5658289790154, -286.79094684123993)",-91.81551459719175
17.88240149995545,"(719.857583284378, -286.958389043808)",-92.07095001177188
18.02294830000028,"(721.1129051074386, -286.7006548643112)",-91.75431610222843
18.15596820000792,"(721.0058024264872, -286.6537868976593)",-91.75467810225445
18.293579399993178,"(719.7165713310242, -286.72310960292816)",-92.04250910406795
18.431544699997175,"(720.2755444869399, -286.795273065567)",-91.93041886959887
18.56343849998666,"(720.7381289675832, -286.72238314151764)",-91.79112399166563
18.69825779995881,"(722.1933822073042, -286.6605249643326)",-91.51149604704531
18.81885829998646,"(721.1703575588763, -286.63647198677063)",-91.74379761090661
18.94357319996925,"(720.0066733583808, -286.8488721847534)",-91.97905664667853
19.078607600007672,"(721.1159335710108, -286.69781255722046)",-91.67624020982602
19.21018130000448,"(720.2177126780152, -286.8213926553726)",-91.96691257033424
19.35440379998181,"(720.6027519032359, -286.7670714855194)",-91.85813497761262
19.484526499989443,"(721.179467651993, -286.6687841415405)",-91.67405454929161
19.609056099958252,"(720.2694573998451, -286.81756043434143)",-92.00214268607317
19.746750799997244,"(720.2122750878334, -286.6182038784027)",-91.90220335813756
19.893878599978052,"(722.020756714046, -286.6088699102402)",-91.56607608870289
20.036228199955076,"(720.7234179452062, -280.07295072078705)",-91.98883747756999
20.17011939996155,"(719.7412106692791, -271.24922227859497)",-92.9507739995179
20.296061199973337,"(721.1433275416493, -264.63619363307953)",-93.03749691140956
20.43539569998393,"(721.2252342477441, -255.48670518398285)",-93.51285758707493
20.568989899998996,"(720.5644006878138, -246.02611029148102)",-94.22739099690665
20.71775859995978,"(720.7532347142696, -239.59920179843903)",-94.61920479864443
20.84812429995509,"(720.6407246738672, -230.14952671527863)",-95.03645422485134
20.98596749996068,"(720.8075570315123, -220.56159591674805)",-95.59642728395484
21.11846039997181,"(720.7206709831953, -210.5165777206421)",-95.77372533443003
21.246059699973557,"(720.9171814620495, -203.52216589450836)",-95.89056938056143
21.365999899979215,"(719.3348378539085, -193.7326991558075)",-96.6705769837769
