timeStamp,robotRealCenCoords,robotHeading
0.0,"(716.4309351406991, -284.9045054912567)",-88.46891314918226
0.0,"(718.2154313549399, -284.76397144794464)",-88.0447037602111
0.0,"(717.7411878481507, -284.7225375175476)",-88.16154097615335
0.0,"(716.4880117587745, -284.81216645240784)",-88.47344156460198
0.0,"(716.4312842078507, -284.9615761041641)",-88.51884866220422
0.0,"(717.1019208393991, -284.8362970352173)",-88.30931211884658
0.0,"(716.534071020782, -284.7341785430908)",-88.44722729856747
0.0,"(717.3066823147237, -284.7864053249359)",-88.27374732383832
0.0,"(716.6696204468608, -284.8603118658066)",-88.42594442911371
0.0,"(716.154922477901, -284.89971363544464)",-88.57872893065772
0.0,"(716.9228158593178, -284.8481673002243)",-88.3582299336822
0.0,"(715.5070557259023, -285.0270470380783)",-88.76664792529229
0.0,"(717.1895167790353, -284.88121497631073)",-88.27905438082341
0.0,"(715.1508815698326, -284.9759694337845)",-88.81957506117071
0.0,"(717.942288197577, -284.8191281557083)",-88.08683236701175
0.0,"(716.0141183584929, -284.8993124961853)",-88.62778334927675
0.0,"(715.7657224014401, -284.9475772380829)",-88.62856199084214
0.0,"(718.7067412137985, -284.78022134304047)",-87.88672831489788
0.0,"(716.430656094104, -284.91624093055725)",-88.47975265939507
0.0,"(715.2777702026069, -284.85962522029877)",-88.72476520530176
0.0,"(716.762039732188, -284.8995614051819)",-88.39524955898366
0.0,"(717.2432957217097, -284.84297370910645)",-88.26454022883713
0.0,"(716.3421939350665, -284.9047404527664)",-88.51089149182116
0.0,"(714.6162389069796, -284.97797894477844)",-88.91037559599687
0.0,"(717.2319231331348, -284.8563640117645)",-88.26924622917528
0.0,"(716.7840089350939, -284.824790596962)",-88.34897502735683
0.0,"(716.0428376197815, -284.9909199476242)",-88.5891654597095
0.0,"(716.5170913264155, -284.8951323032379)",-88.45314907257787
0.0,"(717.007214371115, -284.84992957115173)",-88.33089551662381
0.0,"(714.6931282579899, -284.92030930519104)",-88.86394397001912
0.0,"(717.1175456792116, -284.9073932170868)",-88.29470234421191
0.0,"(716.428795684129, -284.93881809711456)",-88.46443254508674
0.0,"(715.9337492585182, -284.9474530220032)",-88.60167836626897
0.0,"(715.8727226704359, -284.931657910347)",-88.62350082066716
0.0,"(715.9304031506181, -284.8923590183258)",-88.61990131097456
0.0,"(716.9266636259854, -284.91863691806793)",-88.35190517851078
0.0,"(716.7014046348631, -284.85862386226654)",-88.41996801358995
0.0,"(718.3299133330584, -284.67410588264465)",-87.99700854923691
0.0,"(715.023927371949, -284.89790391921997)",-88.82012830649349
0.0,"(716.7371968850493, -284.90611839294434)",-88.41146442807329
0.0,"(716.2240636944771, -284.93377900123596)",-88.57536847758608
0.0,"(717.3736296370625, -284.80522525310516)",-88.24397452924623
0.0,"(716.6342446357012, -284.8401110172272)",-88.43504907127733
0.0,"(716.836794745177, -284.8439584970474)",-88.39990774799762
0.0,"(715.8750539347529, -284.94879388809204)",-88.6219640281039
0.0,"(716.2059990912676, -284.8366414308548)",-88.53540504075234
0.0,"(718.2983857244253, -284.7611997127533)",-88.01557983359017
0.0,"(716.4869560934603, -284.9118686914444)",-88.4628684317668
0.0,"(715.2324053123593, -284.9900197982788)",-88.76529554783662
0.0,"(717.2029171921313, -284.79441487789154)",-88.26863151214998
0.0,"(717.2682512588799, -284.8052954673767)",-88.26496370056567
