timeStamp,robotRealCenCoords,robotHeading
0.0,"(210.78144967556, -174.56410026550293)",-67.41264888151603
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(211.182024538517, -174.69587743282318)",-67.30792159097223
0.0,"(211.17785185575485, -174.62590086460114)",-67.35625883972841
0.0,"(211.39598095417023, -174.69632637500763)",-67.35722189640138
0.0,"(211.59741419553757, -174.75746834278107)",-67.3515460092011
0.0,"(211.55634707212448, -174.86223459243774)",-67.30671947767831
0.0,"(211.45219832658768, -174.77939331531525)",-67.33126034736617
0.0,"(211.44295001029968, -174.8681265115738)",-67.3488822354248
0.0,[nan nan]
0.0,"(211.2986120581627, -174.8409914970398)",-67.414253975971
0.0,"(211.91635918617249, -175.00026643276215)",-67.295538458007
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(211.54895567893982, -174.7611187696457)",-67.36987140674425
0.0,"(211.43653464317322, -174.85895192623138)",-67.41325676835217
0.0,"(211.72550040483475, -174.9397977590561)",-67.29993709983249
0.0,[nan nan]
0.0,"(211.41294300556183, -174.8784008026123)",-67.25836856854379
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(211.44073021411896, -174.68557810783386)",-67.32823457356385
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(211.55550295114517, -174.96777832508087)",-67.31311936493061
0.0,[nan nan]
0.0,[nan nan]
0.0,"(211.2642321586609, -174.7929595708847)",-67.24526826571571
0.0,"(211.16340655088425, -174.72437143325806)",-67.35776148134582
0.0,"(211.9918310046196, -174.97763633728027)",-67.29967072245486
0.0,[nan nan]
0.0,[nan nan]
0.0,"(210.8126677274704, -174.6935759782791)",-67.39386586129851
0.0,[nan nan]
0.0,"(211.48219245672226, -174.79047966003418)",-67.29910381675374
0.0,"(211.37968343496323, -174.76210176944733)",-67.42498420315708
0.0,"(211.45802348852158, -174.89676308631897)",-67.39925488055364
0.0,"(211.4361727833748, -174.72238957881927)",-67.27452196593087
0.0,"(210.68881225585938, -174.68695831298828)",-67.36418185916563
0.0,[nan nan]
0.0,[nan nan]
0.0,"(211.92949825525284, -175.01314663887024)",-67.31884989364426
0.0,"(211.46587562561035, -174.70799016952515)",-67.38851099298921
0.0,"(210.9694323539734, -174.62367498874664)",-67.41864578760732
0.0,"(211.44477146863937, -174.82217025756836)",-67.29699328830021
0.0,"(211.7715345621109, -174.99758768081665)",-67.28803208010916
0.0,[nan nan]
0.0,"(211.41717487573624, -174.66144704818726)",-67.32293434676792
0.0,"(211.26819825172424, -174.79100453853607)",-67.38027378485017
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(211.50491136312485, -174.7450008392334)",-67.34048110274568
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(211.42482858896255, -174.78773391246796)",-67.30832457213326
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,"(211.11493635177612, -174.7017184495926)",-67.33636249867617
0.0,[nan nan]
0.09886800000094809,[nan nan]
