timeStamp,robotRealCenCoords,robotHeading
0.0,"(710.6962150633335, -286.6601665019989)",-91.64159749035571
0.0,"(710.9828418716788, -286.8015422821045)",-91.77480666973847
0.0,"(711.1183444932103, -286.7094602584839)",-91.72919466646113
0.0,"(711.4945530816913, -286.55428862571716)",-91.47600638411792
0.0,"(710.8939807265997, -286.6121311187744)",-91.63899518828194
0.0,"(710.5822217017412, -286.9149967432022)",-91.84797848631682
0.0,"(710.8335818871856, -286.6894643306732)",-91.69513251307028
0.0,"(711.1617111414671, -286.68913209438324)",-91.62204265876197
0.0,"(711.212111890316, -286.5363734960556)",-91.5640885036544
0.0,"(711.2464743889868, -286.52694487571716)",-91.54233435114791
0.0,"(711.0999892801046, -286.5932426452637)",-91.5944282039476
0.0,"(711.3358614780009, -286.50029623508453)",-91.49896264991834
0.0,"(710.55667277053, -286.7732867002487)",-91.7825452740681
0.0,"(712.1518142223358, -286.5376534461975)",-91.44031864570461
0.0,"(710.8336901701987, -286.5992215871811)",-91.75012919626721
0.0,"(711.3621802479029, -286.6326345205307)",-91.53274476555322
0.0,"(710.6350889280438, -286.66597270965576)",-91.67022281316723
0.0,"(711.1394009999931, -286.6942756175995)",-91.70706485355028
0.0,"(711.2251822315156, -286.6902823448181)",-91.74231545985673
0.0,"(712.0963345728815, -286.406991481781)",-91.3949935103724
0.0,"(709.1441800892353, -286.66390454769135)",-91.9475626444156
0.0,"(711.4776486717165, -286.63896572589874)",-91.62859964036518
0.0,"(711.6490447446704, -286.8554974794388)",-91.71296613699317
0.0,"(710.9206411577761, -286.63940382003784)",-91.75116738502106
0.0,"(710.7354241907597, -286.4458029270172)",-91.55884291837184
0.0,"(710.9676294326782, -286.580934047699)",-91.6193242434723
0.0,"(711.4352153986692, -286.66313433647156)",-91.7089090046262
0.0,"(711.5666157193482, -286.77569246292114)",-91.62214511159952
0.0,"(710.7534171640873, -286.50565338134766)",-91.590466694229
0.0,"(711.8761941865087, -286.60802030563354)",-91.4926378947469
0.0,"(711.7865152172744, -286.77309930324554)",-91.58890941109823
0.0,"(710.8719405122101, -286.61953997612)",-91.694237758289
0.0,"(710.8139886111021, -286.52695417404175)",-91.54621389859648
0.0,"(710.7780694775283, -286.8278965950012)",-91.75924749880919
0.0,"(711.5727383606136, -286.90019476413727)",-91.74235644099174
0.0,"(711.3828731104732, -286.72008180618286)",-91.48507004514653
0.0,"(709.5978195220232, -286.64737498760223)",-91.86833245004345
0.0,"(712.6296780072153, -286.39046359062195)",-91.15302722883553
0.0,"(711.5309138223529, -286.866144657135)",-91.69578138104143
0.0,"(712.0053564123809, -286.60694682598114)",-91.34626011064437
0.0,"(711.3508122824132, -286.6113911867142)",-91.49845038573058
0.0,"(711.9937323890626, -286.64854526519775)",-91.49410638541846
0.0,"(712.1201336830854, -286.64588022232056)",-91.48735815851849
0.0,"(711.822700239718, -286.4507678747177)",-91.46054283583702
0.0,"(710.9523074366152, -286.7710018157959)",-91.60421586502824
0.0,"(711.5121005102992, -286.60046422481537)",-91.43470423020686
0.0,"(711.3056241050363, -286.6011130809784)",-91.56157499403984
0.0,"(711.2208679839969, -286.75081980228424)",-91.56134959779723
0.0,"(711.5981692969799, -286.7001153230667)",-91.62079273414385
0.0,"(711.3706083409488, -286.57844614982605)",-91.53728684135127
0.0,"(711.3884739167988, -286.56193339824677)",-91.45363751458613
0.0,"(710.2395488917828, -286.79353880882263)",-91.85900241163722
0.0,"(711.6978622637689, -286.6124908924103)",-91.55198540844515
0.0,"(711.4801917485893, -286.6093170642853)",-91.45187532578026
0.0,"(711.7502519190311, -286.33629834651947)",-91.37442098059232
0.0,"(711.0674285329878, -286.6437872648239)",-91.60704356334462
0.0,"(711.0936169214547, -286.6056954860687)",-91.65208866092085
0.0,"(710.7755409926176, -286.6813853979111)",-91.5880078261278
0.0,"(711.6531163193285, -286.6443051099777)",-91.41540894580157
0.0,"(711.6388519704342, -286.6782841682434)",-91.59499510964872
0.0,"(710.5038359165192, -286.84308111667633)",-91.72791059089717
0.0,"(710.2954090163112, -286.63305926322937)",-91.6941694563973
0.0,"(711.3409641049802, -286.4570562839508)",-91.51812816072939
0.0,"(711.4892035610974, -286.68257081508636)",-91.652737528892
0.12524100000155158,"(710.8170145861804, -286.68631315231323)",-91.72599130774039
0.26895490000606515,"(711.1769541762769, -286.41071450710297)",-91.47018706294507
0.410925899996073,"(711.7530522793531, -286.5175176858902)",-91.42402864453413
0.5889576000045054,"(711.6010564491153, -286.7841068506241)",-91.67733304009322
0.7435388000012608,"(710.8822825960815, -286.758722782135)",-91.69571307914973
0.9012235999980476,"(710.9151293225586, -286.49081242084503)",-91.52738989724394
1.0543181999964872,"(710.3701553791761, -286.86304235458374)",-91.82647705080961
1.2225153000035789,"(710.5115127936006, -286.80704522132874)",-91.8710781860898
1.364945399996941,"(711.4272646084428, -286.5889345407486)",-91.5482151440233
1.5232214999996359,"(711.4504959508777, -286.57863771915436)",-91.4769694407909
1.6761338999931468,"(710.8203825615346, -286.6934427022934)",-91.77682157554362
1.848877900003572,"(710.994982842356, -286.6095994710922)",-91.64892628333513
2.020690100005595,"(711.0452101565897, -286.7366291284561)",-91.59303484535693
2.243266000004951,"(711.8386182375252, -286.51552402973175)",-91.38090966030383
2.469948600002681,"(711.8694922029972, -286.5233966112137)",-91.4245818898569
2.6611978000000818,"(711.2500803992152, -286.6539260149002)",-91.61213205427627
2.8188048000010895,"(711.5885461457074, -286.7129156589508)",-91.45075517475638
2.9856302999978652,"(711.366596441716, -286.65568459033966)",-91.46993434594579
3.1401996000058716,"(710.7719549499452, -286.73586094379425)",-91.73469296874299
3.312879100005375,"(710.7901834398508, -286.74199962615967)",-91.70726292903622
3.485094999996363,"(711.2438580170274, -286.6173231601715)",-91.53874850183367
3.653480299995863,"(712.2375056743622, -286.50642490386963)",-91.27727520002723
3.8077096000051824,"(710.8076172620058, -286.7332043647766)",-91.67541375693645
3.9787420999928145,"(710.6485132388771, -286.7503411769867)",-91.76217764996312
4.132115100001101,"(710.5785565078259, -286.77483427524567)",-91.79029753877606
4.281157499994151,"(710.6451962441206, -286.81711602211)",-91.81688063502575
4.4284792999969795,"(711.5749914869666, -286.619202375412)",-91.55333778590081
4.582789799998864,"(710.9437640570104, -286.7332319021225)",-91.60856669552953
4.751343900003121,"(711.2646181471646, -286.64731550216675)",-91.51334702831038
4.892604699998628,"(711.9073942825198, -286.8403730392456)",-91.60127888368513
5.033463900006609,"(711.3033681996167, -286.71981930732727)",-91.65914424633347
5.185230799994315,"(711.301161263138, -286.6598949432373)",-91.54863178556266
5.3486172999982955,"(710.6746532581747, -286.6294368505478)",-91.61146269573761
5.504054699995322,"(710.8005981147289, -286.6202037334442)",-91.6263183571824
5.659268599993084,"(712.1434167288244, -286.61940562725067)",-91.46210011896778
5.812142800001311,"(711.159499887377, -286.8219722509384)",-91.67244262464749
5.971865300001809,"(710.9845349490643, -286.83847892284393)",-91.61970673406582
