timeStamp,robotRealCenCoords,robotHeading
0.0,"(215.57739681005478, -176.04446744918823)",-69.21608519977704
0.0,"(214.58993232250214, -175.76900565624237)",-69.37943600396706
0.0,"(214.3834770321846, -175.7745976448059)",-69.40002902431465
0.0,"(214.4690242409706, -175.8118498325348)",-69.38389611749508
0.0,"(214.75374364852905, -175.89163446426392)",-69.24020259773636
0.0,"(215.87972378730774, -176.0450406074524)",-69.11399436225285
0.0,"(214.97063386440277, -175.88277888298035)",-69.27225667551122
0.0,"(214.7493405342102, -175.87891745567322)",-69.22854346482313
0.0,"(214.8920441865921, -175.8607521057129)",-69.22005353968481
0.0,"(216.1087104678154, -176.0119595527649)",-69.02833695987172
0.0,"(215.74262410402298, -176.15791404247284)",-69.1160365888147
0.0,"(214.51924449205399, -175.65515387058258)",-69.38162849469063
0.0,"(214.2404596209526, -175.71423721313477)",-69.37585015465281
0.0,"(215.51342505216599, -176.04348409175873)",-69.20454901026889
0.0,"(214.94261234998703, -175.95764362812042)",-69.30575875339014
0.0,"(214.61257588863373, -175.8588181734085)",-69.31767060330263
0.0,[nan nan]
0.0,"(213.66174668073654, -175.54875946044922)",-69.56876201757065
0.0,[nan nan]
0.0,"(214.7098338007927, -175.82103037834167)",-69.2115158032223
0.0,"(214.46576195955276, -175.75727248191833)",-69.42308774295262
0.0,"(214.43845069408417, -175.82456600666046)",-69.34090007666985
0.0,"(214.56670302152634, -175.81497848033905)",-69.2879319596564
0.0,"(214.42556601762772, -175.72568929195404)",-69.45344793381332
0.0,"(214.1395737528801, -175.71621215343475)",-69.45262148092375
0.0,"(214.62088787555695, -175.8545379638672)",-69.31049207448496
0.0,"(214.14085590839386, -175.73886680603027)",-69.4764588411271
0.0,"(215.25187492370605, -175.98257672786713)",-69.26203871251288
0.0,"(216.05924201011658, -176.0357232093811)",-69.02055054421791
0.0,"(214.72904551029205, -175.79141902923584)",-69.28831445024993
0.0,"(214.81255757808685, -175.83918702602386)",-69.19754123618046
0.0,"(213.66386598348618, -175.55990314483643)",-69.58402749036563
0.0,"(215.8046936392784, -176.13749945163727)",-69.06492628325549
0.0,"(214.74279940128326, -175.81334149837494)",-69.21147482208728
0.0,"(214.57256656885147, -175.7520468235016)",-69.2517865985687
