timeStamp,robotRealCenCoords,robotHeading
0.0,"(653.1885433197021, 160.71701431274414)",116.27097959966572
0.0,"(671.0408973693848, 156.68347358703613)",109.10309904689836
0.0,"(669.7833909988403, 156.6981372833252)",109.61679074418586
0.0,"(654.5100431442261, 160.67480087280273)",115.36738655360806
0.0,"(653.5136699676514, 160.68058013916016)",116.1322038161094
0.0,"(653.8541812896729, 160.5942268371582)",116.08276690689685
0.0,"(653.288215637207, 160.7022190093994)",116.16690117709307
0.0,"(668.4515113830566, 157.1554126739502)",110.73435995656169
0.0,[nan nan]
0.0,[nan nan]
0.0,"(654.0598669052124, 160.50597190856934)",115.9963650138962
0.0,"(669.2081489562988, 156.90041160583496)",110.37432702503197
0.0,"(670.1574535369873, 156.57293701171875)",110.07067730510072
0.0,[nan nan]
0.0,[nan nan]
0.0,"(652.9175720214844, 160.81474113464355)",116.27752292089059
0.0,"(668.9654636383057, 156.8077335357666)",110.48884880684558
0.0,"(670.1796140670776, 156.8351707458496)",109.45765416671374
0.0,"(670.8168430328369, 156.4977741241455)",108.60719999239876
0.0,"(670.171802520752, 156.61735153198242)",110.18704323799022
0.0,"(667.6929578781128, 156.97163581848145)",110.36308453365814
0.0,"(667.4658098220825, 157.0685577392578)",110.98375748391553
0.0,"(664.0856409072876, 157.87774467468262)",112.44368992843825
0.0,"(653.7904014587402, 160.6128635406494)",116.23223876669341
0.0,"(669.2244787216187, 156.8535327911377)",110.45897355941594
0.0,[nan nan]
0.0,"(657.1977949142456, 159.56415367126465)",114.20689643248787
0.0,"(667.8736791610718, 157.1274700164795)",110.89273155284677
0.0,"(670.1933841705322, 156.7278289794922)",109.43042903268206
0.0,"(653.5083675384521, 160.66314506530762)",116.14867823238747
0.0,"(668.8150157928467, 156.75141143798828)",109.68876044747029
0.0,[nan nan]
0.0,[nan nan]
0.0,"(670.9473209381104, 156.3579216003418)",108.80163498750152
0.0,"(666.1867380142212, 157.03406715393066)",110.4144748769733
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.0,[nan nan]
0.05940769985318184,[nan nan]
0.19429889996536076,[nan nan]
0.31255869986489415,[nan nan]
0.4278154999483377,[nan nan]
0.545745899900794,[nan nan]
0.6728890999220312,[nan nan]
0.79802650003694,[nan nan]
0.9245897000655532,[nan nan]
1.051406899932772,[nan nan]
1.1648378998506814,[nan nan]
1.284666599938646,[nan nan]
1.4210119999479502,[nan nan]
1.5307859999593347,[nan nan]
1.6567176000680774,[nan nan]
1.7864226000383496,[nan nan]
1.918379999930039,[nan nan]
2.032116899965331,[nan nan]
2.1588534000329673,[nan nan]
2.2778487999457866,[nan nan]
2.3909555000718683,[nan nan]
2.5067221999634057,[nan nan]
2.637926199939102,[nan nan]
2.7588863000273705,[nan nan]
2.8914542999118567,"(214.23123836517334, -170.71540641784668)",-64.19381295212081
3.0210444000549614,"(215.67403888702393, -174.56280899047852)",-64.7044993661735
3.144362499937415,[nan nan]
3.2733833000529557,[nan nan]
3.395148599985987,[nan nan]
3.517566099995747,[nan nan]
3.6305754999630153,[nan nan]
3.750873199896887,[nan nan]
3.8725610999390483,[nan nan]
3.987176999915391,[nan nan]
4.107165799941868,[nan nan]
4.228773700073361,[nan nan]
4.343113400042057,[nan nan]
4.476822600001469,[nan nan]
4.620480299927294,[nan nan]
4.7520699999295175,[nan nan]
4.872551999986172,[nan nan]
4.991647100076079,[nan nan]
5.1145379999652505,[nan nan]
5.245422499952838,"(213.79510307312012, -173.19707489013672)",-64.8725220197558
5.368452899856493,[nan nan]
5.491444000042975,"(213.3399133682251, -172.81204795837402)",-64.97724931029961
5.6093031000345945,[nan nan]
5.7251635999418795,[nan nan]
5.846377099864185,[nan nan]
5.97541409987025,[nan nan]
6.097609099932015,[nan nan]
6.236164500005543,[nan nan]
6.364733699942008,[nan nan]
6.511905599851161,[nan nan]
6.6398380000609905,"(213.41309356689453, -173.1640968322754)",-64.96895746064722
6.766596799949184,[nan nan]
6.907951300032437,"(212.70557498931885, -172.99754333496094)",-65.14116019000159
